review_text,F,BR,AU,FI,IR,A,L,LF,MN,O,PE,SC,SE,US,PO
Once again Evernote has launched an update that crashes on both my iPad and iPhone 5S.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I even have the Premium version and bought several books on how to use the tool. I think the power just takes a while to understand for each user.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Extending the brand into notebooks, backpacks, coffee mugs and T shirts works for Starbucks because the coffee tastes good and is reliably available.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Do not update.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The last update crashes upon opening on iPad and iPhone! It tries to open for a few seconds then crashes to home screen. I tried uninstalling rebooting reinstall but the same result occurs. Please fix this ASAP!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
New version crashes on both iPad 2 and iPhone 4S.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Please fix app.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Updates crashes 5s\nClean install same\n\nEvernote help no help\nEvernote you.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I like it and its available in all platforms.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I love Evernote and have become very reliant on it, one of the apps I can  t do without however I am without it now because it crashes on open and will not open on iPhone. Tried to delete and reinstall but it still crashes.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sclathos ,  Evernote is not working after upgrade. It will open but then it crashes and sometimes re opens on its own. You can  t open any notes when it does load.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"When I try to take a photo as a note, the app crashes.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7.2 completely crashes on startup on iphone 5 and ipad 3. App crashes on update, even after reboot and reinstall. Please address issue.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"One of my all time favorite apps, however the latest update makes it unable as it freezes and crashes. It  s a great program,  but since the last update last night, it just crashes every time I open it. I uninstalled it, reinstalled it, still crashes. I uninstalled it, did a clean boot, installed again, still crashes, Evernote, please fix this ASAP.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
You must get this app one of the best.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Probably the best app available so easy to use and it makes a lot of fun\nLove using it on my iPhone too,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Also has practical uses...show pictures to hair stylist, pin recipes so you know what you need at the store, etc",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I love this app, i think it is the best out there i recommend this to anyone who loves to kill time on their computer!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Only complaint is you can  t change then orientation, which is especially bothersome for videos.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
This is a little inconvenient and could be improved.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I do not feel the need to be notified when someone creates a new board.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I haven  t had any problems with this app.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It is so much fun and gives you so many ideas of how to approach life,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
There are also great cleaning ideas and personal ideas like how to make your own facial scrub!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My only problem with Pinterest is I lose track of time when Im on it.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It would be nice if it would let you start typing the name of the board and it would pull it up.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thank you for adding more secret boards!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I have lots of recipes on here and when I  m trying to find that recipe I made a year ago so I can make dinner, it  s frustrating that I can  t search for it and find it quickly.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Some minor problems happens often but still love this app!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
You can use it for anything and it  s so easy to use.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"If there is a way to do this, it isn  t intuitive. : / I  m kinda technologically challenged, I admit, but ideally the app should be programmed and designed with people like me in mind!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Its always up to date and never crashes!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The only issue is that the search function for your own pins is not very accurate.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Its good but it can use a bit of an improvement, like sometimes the pictures just doesnt show and it takes a while for it to get back but that would be it",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Works smoothly and easily, every time I use the app...can  t say that about all apps.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Love this app, and it  s not crashing for me anymore!!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I wish there was a way to put my boards in alphabetical order without moving them all individually.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I love that you are now able to pin from your clipboard!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I like everything about this app except the fact that I can  t pin anything from my iPhone!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My only complaint would be that if a pin is reported as a possible threat why isn  t it removed?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Haven  t had any problems on iPhone 5!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
When I wake up in the middle of the night I just grab my phone and start pinning!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please fix this problem and let us pin more than that.,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
The app on my iPad regularly crashes.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I can be bombarded with ads anywhere   I don  t need to sit and browse through them.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I  ve never had an issue with it crashing.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My only problem with it is the fact I say just 2 more minutes and they turn into hours!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"However, it has crashed a couple of times recently on the iPad.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I might use it 50 times a day just for home made goodies alone.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
\n Absolutely HATE the new way they list the categories with a picture....please go back to the old list...or let us choose which we  d like to use.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
They updated the app and it is a lot better.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Luckily I dont have the crashing issue or I would probably have to cry, lol.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I could not tell you how many fun ideas I have tried and loved because of Pinterest.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I think it  s much easier to pin things on the app than it is to pin them on the website.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I love looking at wedding stuff to help me plan my upcoming wedding.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I like pinterest a lot, but it really needs to be managed better.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Adding 12/24/13  do not like updated fragmented boards.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Use it just about everyday.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Frequent app crashes on my iPad, please fix this bug!",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinterest is my go to when I need an idea for anything (hair styles, crafting, cooking, whatever!)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"\n\n~update for new version~\n\nI preferred the last layout and it STILL crashes when the orientation changes (and at random, too). Why put the effort into a new layout and not fix major bugs?",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I feel that they need to remove them.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Will think of other improvements that may be needed when I think of them.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please fix the bugs!!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Does the job you need it for but occasional crashes (I use it daily and it probably crashes once a week) can be a nuisance, but just briefly.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Will,lock up,and crash often.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sha  chey Renee ,  This new update crashes when I click on images and I cant see my followers and whos following me please change this",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I would have given it 5 stars except it crashes for no reason &amp; whatever you were looking at is lost. Why was this feature removed? Please fix this soon!!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"I want to change the covers on my boards, but you can  t do that in this update, please fix it or if you got rid of it, please bring it back!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"However, in the last update something happened and now the app crashes constantly and when I can get in, all my pictures are gone. Please fix this soon!!",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HomelessDragon ,  Says I need to grant access to log in via Facebook.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I find it very annoying that Pinterest keeps crashing literally every few minutes...didn  t have this problem before.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"It will work fine sometimes, but since the new update if I leave and come back to the app the images wont show up.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Please change it back to how it was before.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I  ve seen many people have this issue, and currently mine takes up 1.5 gb of my memory because it saves every single photo u pin or look at in the cache.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Never had an issue with it.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very annoyed that I can  t delete pins from notifications tab.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Whether I need some inspiration in planning a birthday party, motivation to work out, or outfit ideas, Pinterest is my first stop!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"It is the one if the best apps ever created and is very useful and fun to look at. It  s cool how you can save the things you like as well. However, I don  t know if there is a way to contact Pinterest in order to suggest ideas for the app  s improvement. I would like to suggest the idea that Pinterest create folders for our boards.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I think we should get more.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Now I have to scroll through all of them instead of just touching a letter to find the board.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I just love this app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"My iPad no longer crashes, so I  m a happy camper about that.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please undo this terrible update!!!!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"While aesthetically better looking, it does not work well.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The new updates are causing problems...first it was crashing my iPad almost every day. Now, it won  t load correctly (pictures missing) and my boards are missing cover pics, which I can  t even edit because there  s no option to change the picture anymore.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smash lover ,  Pinterest, is like a social media drug once you have a little you need a lot!!!!!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bdmama13 ,  I love the app but I can  t pin from etsy or other websites with the Pinterest button on the iPad mini.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wouldn  t let me update the app.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Since update can  t login with my Fb acct!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"The app was great, please fix!",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I want to know if anybody is having the problem about an update on Pinterest! I need my App back!!!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
When I try to update it says that the app is no longer available.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I cant get the app it says its no longer available,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trying to update and keeps saying the item  Im trying to purchase is not available. Um I  m not trying to purchase I  m trying to update please fix ASAP now it  s saying can  t connect to iTunes  I  m getting frustrated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"I uninstalled it because when I tried to update it said What you  ve tried to buy is no longer available."" Now I can  t reinstall.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I was trying to update my phone but it  s telling me that Pinterest is no longer available.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
When the update came I tried to update it but it said that It wouldn  t let me.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I love Pinterest and always wished there was some way to go easily from pin to pin on a board or category. I was excited to see that they added the swiping feature in the latest update.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tried to update this app (the update is for bug fixes) and it tells me the item I  m trying to buy is no longer available!!!,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Now it says not available to purchase.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
For some reason it  s not letting me update &amp; 'this update is no longer available' and then it deleted my app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"So, I tried uninstalling and reinstalling it, but now it won  t let me download the app. It says 'The item you tried to buy is no longer available.'",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
It says 'The item you tried to buy is no longer available.',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"grlnxtdr2u978 ,  My Pinterest app is saying it needs an update but I am getting this message when I choose update.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Can I not download the app?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
It says it  s no longer available!,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
What happened?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
What happened?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"magirlokmynameisnicky ,  It won  t let me create an account at all I think it is a bug or something.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the problem since the update?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Of course I adore Pinterest but the app always has bugs and the last update has made Pinterest completely unusable. I need my Pinterest!!!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I can  t even open the app after it  s latest update!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"The only thing wrong is when I go to repin something, I go to write a description and click on the box but it crashes.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I cannot access my notifications anymore and when I try to change captions I can  t. Why can  t I post comments anymore?!?!?!?!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I love love Pintrest but hate that it sometimes crashes since iOS 7 has come out never had that problem before but for that issue a great app.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
You just put your finger on the pin picture and instantly you have options that POP up.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Do not like the new update.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Works great and I  ve nvr had a problem with it or gotten a bad idea off Pinterest,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The only issue I have is that it  s sensitive.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Other than after I updated it it crashes every other time I use it!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"The only problem is when I get on, I don  t want to stop!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I can look at pins, but I can  t do much else for the last two days. The app shuts down, won  t load some pins, and I can  t edit pins.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
It was perfect before I updated it 2 minutes ago.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Love it because it is more portable than my computer so I can use it working out or cooking in the kitchen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"With the updates, you forgot to put back to edit board cover for iPad users!!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinterest is the best tool for fashion designers who needs to draw inspirations from different culture and historical era.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Can  t view pins, all notifications have disappeared, crashes constantly.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"\nWish i could have more than 3 secret boards, please add the feature.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Online hoarding, what could be better?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please fix this bug problem Thank you.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Way to fail Pinterest.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
This App as created an addition for Pinterest that I didn  t have before.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"the app is amazing in my iphone but when I use it on my computer its annoying when I have to pin because it isnt fast to do it so I dont like in my computer I just rather to use it on my iphone, but besides that I just love it!!!!",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I can  t live without it!!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I liked having the letters on the side so I didn  t have to roll through my entire list of boards to pin something.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Please find a way to sort the DIY and Etsy stuff apart from each other  it  s frustrating to click on a project only to find you  ve been diverted to an Etsy store.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When you need any sort of idea, all you have to do is check Pinterest.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I absolutely recommend Pinterest, although it is addicting!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
If you use Pinterest you need this app.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sometime I can  t click to go to websites but overall good app.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I still feel all these larger companies should have the email synch up with my app so when I get an alert and click on the email it should go to my app not the web page.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Now however I just like it  they decided to change the entire way you pin the look of everything and made all the type small and not as colorful and pleading to the eye.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I would never be able to see so many of the wonderful things the world has to offer if not for Pinterest!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Love using Pinterest to research all kinds of things and usually find info more appropriate for what I want to know then on other search engines!!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
However it constantly crashes and freezes!!!!! Love using the app but very very annoying they need to fix all the glitches !!!!!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
