review_text,F,BR,AU,FI,IR,A,L,LF,MN,O,PE,SC,SE,US,PO
Amazing.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
its a good one,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Excellent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chatgpt in a mobile version. It's different from the website in a green with white logo. Good app.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bad,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lovely ❤,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
helps us for better understanding,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"excellent 👌👌👌 very intelligent it can almost do anything of our commands but I am disappointed that chat gpt cannot show pictures , it is only a text based ai",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Incredible speed,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Super Simple and Tho I like more detailed UIS , the simplicity it has is really on spot with the information it gives you , my only problem with it , is that it only goes up to September 2021 , hope that changes one day🙏",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Good 👍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I love chatgpt, unfortunately i have one compliant, when i downloaded the app i could check my previous history and then continue previous conversations, now I can't",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
👍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Highly recommended app for introverts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"It is more convenient since I'm not good at making paragraph, I appreciate your work and be honest guys, it's way more useful❤️ Love your app❤️",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ChatGPT is an outstanding app that provides prompt and organized answers to my questions and suggestions. Using it has allowed me to gain new knowledge and understanding. The app is user-friendly and has a simple interface. If you want to engage in conversations or obtain information on any topic, ChatGPT is a great assistant.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
My opinion is convert the text into pdf option,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Superbbbbb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very helpful! It saves me every time I need it,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The GPT-4 is better because it can access data from internet in real time. Bing offers free GPT-4 in their app. I liked this ChatGPT application for it's clean user interface but I'll use Bing chat instead of it for the GPT-4.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
👍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
good app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very helpful app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Excited to experience the power of AI language models! Chat GPT is an incredible AI language model that engages in natural and informative conversations, making interactions smoother and more insightful. #AI #ChatGPT",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immediately crashing the app when trying to launch. Not expected this.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I have been using this since 3months.And I must say I am fully satisfied with this new technological innovation which makes humankind more easier than ever.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very helpful,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
❤️❤️❤️❤️❤️❤️❤️❤️,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
superb website,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Excellent ai app but the data is limited till 2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I am so happy that you are giving all answers to me and I have to help us with you and I will talk 7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nice UI and response,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Great,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ayesha amake keno bhalobashe nai eta tumi bolte paro nai tai 1 star dilam, bye!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very helpful,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ChatGPT is the best thing to happen to students EVER, 5/5.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It wont let me sign up because it says my number is a landline and it isnt!,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Very usefull,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
the best ever,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
it's a very good app. I recommend to all.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The website version suits me a lot. The performance is same but still the user interface need some updation in mobile app version.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
it doesn't have latest info,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Superb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
these app is very good it helps to study alone,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
amazing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Awesome App! Love it. Truly a marvel of software engineering.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
need more work,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"""ChatGPT is a very classic application, it's the most effective chat application I've ever used.""",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
does what its supposed to do,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
incredible,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Time to take over,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very Helpful App✔️✔️💯💯,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I love it but it's stopped working it is writing me no network connection why,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Awesome,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very Helpful,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
💙,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nice🤩❤,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Superb this AI chatgtp application for all questions and perfect answers I'm really impressed 💯,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Unbelievable. What an experience this is. Chat GPT is just ready with answers you can't imagine, or answer that only best of your friends, well wishers or intellectual people can come up with. Now this is simply one of the best places to get advice from. Thank you Chat GPT.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It's the best of me living in future,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gives factually inaccurate information often.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Give us an option to bookmark certain answers so that we can study them later,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best app ever ❤️,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
This a great app you dont even have to b pay,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"It's looking good so far. BUT, I want to be able to bear the answer aloud. I would be able to feel like I'm talking to a person.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It's very helpful platform .,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the greatest thing that ever happened to me,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
world breaking tech !! a must in every Android !,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rubbish experience, won't even let me setup an account. Uninstalled",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Awesome 😎!!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I've thoroughly enjoyed using this android version. Kudos to the developers!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
🥰🥰 OpenAI is Life Changer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
This Helps Me and Remembers! Thanks for this 🙏🏽🌝,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
👍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"App should also support widget. Very important feature. However, I can understand that this is the initial release & will take some time to be mature...",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This one saved my whole life turned darkness into brightness,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Awesome 👌 👏 👍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Poor design, and we cant copy singular words",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A Good App & Best AI In The World!🥰,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very helpful AI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
this is good for me,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Best app 👍🏻👍🏻👌🏻👌🏻❤️❤️😘😘,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Better than web application, because it's hard to use web application on mobile,so I love this.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
First time Download,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Helpful for me ☺️☺️,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
this thing can do everything,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very nice it's help in studies for students,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Nice to see, but if ChatGPT can speak, it will be perfect!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anjum Naul I'm very impressed by this great effort of ai,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
thee best thing i ever see,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10/10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kskaka,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I love this! It helps me learn how to write, and it's takes my story, and it's currently helping figure out how to make this a book!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
excellent. thoroughly impressive.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
awesome,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I didn't finish making an account. They demanded my phone number. No thanks.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
speechless,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
best app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
👍👍👍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Excellent apps for me to improve my grammar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMAZING,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Outstanding app! ChatGPT's astonishing language capabilities never cease to amaze. Whether for brainstorming, writing, or simply conversing, its human-like responses are impeccable. User-friendly interface, context retention, and constant updates make it an essential tool. A true marvel of AI innovation, enhancing both productivity and creativity.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
very accurate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Exceptional,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Good app 👌,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
First,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very good I like it,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
This app is very unique! It is the most intelligent AI i've ever seen. I always get video ideas from this app to make videos for my YouTube channel. This app makes the AI world more unique. But there are some problems too. Sometimes It just stops working and the respond messages just never load. And sometimes. It stops generating messages in the middle of it. So I have to wait more to get the messages generated. And yeah even it is a very unique AI app you should still make it better.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
it's a great app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very useful app chatgpt i love it,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Super But please connect to internet in chatgpat,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nice apps. I am very pleasure for use to this app in Android.♥️,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sooooooo nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
No words to express my gratitude,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
awesome 👌,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
great,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The god Of All Time,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the best app i ever use. it very easy to use. anybody can use it and grow their knowledge 👍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a wonderful and helpful app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Looks like chat blackout is gonna be a part of life now? 9/2/23 edit: The worst blackout did happen but things has been normal for days. Fine. A developer reply, and the fact that I've always loved chatgpt? I've restored my rating to 5 stars.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
जबर्दस्त,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It's the best but need a feature to zoom in or to increase the font size so that it's easy to use for a longer duration without giving stress to the eyes.💯💯,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Wonderful,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Best,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Poor experience is not even logging in,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
it is usefull for knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
good to use,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Absolutely outstanding, and the $20 a month upgrade for GPT-4 and faster GPT-3.5 otherwise is worth the cost to me. I consider myself quite the AI enthusiast, though. ☺️ Keep up the outstanding progress with these LLMs and conversational AI bots. I'm tickled pink for what the future may behold! 😊 👌",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
App does not remember history from the desktop login session,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Love this app🖤,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Best app forever,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OPEN AI- FIVERR CREATOR CREATE YOUR OWN USE YOUR OWN SELL YOUR OWN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Just awesome.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I've been using this AI on both my computer and phone for research and programming purposes. It's proven to be invaluable, aiding both newcomers and experienced individuals. I'm thoroughly satisfied with its capabilities and highly recommend it to anyone seeking information or assistance. A must-have tool!""",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Just wonderful✨😍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very good chat GPT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Title: Impressive AI Chat Assistant! Rating: ⭐⭐⭐⭐⭐ (5/5) Review: I've been using the ChatGPT app for a while now, and I must say it's truly remarkable. The AI's ability to understand and generate human-like text is astonishing. It's been a valuable tool for various tasks, from answering questions to helping with creative writing.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very good application.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My daily work partner 💞,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A very sexy AI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very intelligent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Good Very good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"By far the best and the most helpful thing in my life when it comes from internet and research. Some Google informations are becoming irrelevant. Because of some sites coming up. At least ChatGPT is the best place for researching. The American technology is advenced right now and I love ChatGPT. I use a Fake Chat Messenger before but when I found a release of this app, I use it for now and this is the best one. It gives better information. And also for fun. I suggest this one!!!!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Damn fix this app pls when I signed I go back to the started signing in,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I cannot describe best app without adds. Fast and furious. Pls add zoom button so we can zoom to read,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da bezt ting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very useful,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
best,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
it's very helpful to me,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
👍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
In this android version its word limit is only 400-500 words. It won't write more than this!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I love this app, it's really helpful, sometimes it is not 100% correct but it helps me to solve complex problem and give me a good understanding of the answer",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
it's a really great app. I would recommend it 🙌,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Interesting this artificial intelligence thing.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
good experience,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Best app for every query,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nice app doesn't waste time to reply,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Definitely useful app , i really like this so much",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amazing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Could be better with it's UI. The Website has better user experience. As it's just released we can cut some slack.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Very much helping and different results from other online sources.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ChatGPT plays an important role in my career and personal development,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Well,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It is very good app and nice That ChatGPT can even beat GOOGLE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Finally!!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It's good for students for solving maths sum .,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Best service thanks,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"it's working perfectly, nice one",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the future,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fantastical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very gud,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Thrilled with ChatGPT Android! Impressive functionality—writing help, idea brainstorming—like a pocket genius for meaningful conversations. User-friendly interface, regular updates showcase commitment. Highly recommended for productivity. Thank you, OpenAI, for this game-changing tool!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AN ACCURATE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Excellent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"it's a great app I loved it,working with ChatGPT is more easier than any other pre processor and it is more effective and efficient for a student.But one thing that you can improve is to add some offline viewing options like ChatGPT dictionary and if possible language translator also which makes you to attract more users.Now dictionary and translators(language) are needed when people are travelling some times there will be no internet so if you made that offline you can increase your user base.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The app is very useful for people, and I think the world will go much further with the app, and I also think it will improve with time. thank you",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Good experience,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
love this,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Love this app but it is week in solving mathematical word problems and some science equations,physics and chemistry",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Good Work Art ❤🔥👌,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the future of A.I in the palm of your hand !,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Personally it assists in all aspects and finds an adequate response for your question .I like it,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
This is very useful app. I love this very much. I can learn anything from it!!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vrybl useful app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"this is best for student worker and more for people. I sad thanks, who create this AI",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I inhaled this app and tried to register, but couldn't because I got sick on phone verification. The app asks for a verification code but just won't send me a SMS with the code. I tried so many different things and so many times over and over again, but it just won't send an SMS. So after a day of trying I finally uninstalled the App. Absolute rubbish, what a waste of time.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
behtareen app❤️❤️,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
That's awesome 💯,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
excellent application,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Good and very helpful for my case studies,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
🧡🧡🧡,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fabulous veryyy gooood,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
First!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
this is a very interesting app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
it's chatgpt!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
only for lajante can't understand,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
•this aap is very fast and helpful to me 🎀💫•,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very good app you can try,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Useful app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Great app I have ever seen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The best,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Really helpful for studying!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Most intelligent chatbot I've ever seen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very convenient to use.... however there is one thing..if we can send photos to it for explaining. I is need to be improved in this app. Update with sending photos option. As I have one ppt slide and I could send as it is to it for getting explanation in detail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I will prefer to use google search than this AI bot. Too many constraints set by its developers. Feel like you are talking to automated bot who answers within the limitations. Nothing more than a time wasting normal AI bot.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Highly recommended. Kudos to OpenAI! 👍🌟.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Awesome,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amazing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Its really good, everything, except for the fact that its knowledge only goes up to 2021! I do have to cut them some slack tho, making a freakin A.I. must be pretty hard.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Will explain later .,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
😍😍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Love it really. Maybe inky top 5 apps and inventions lols. Sadly tho, Subscription is too ridiculous expensive. Should be the price margins of let's say cable TVs, a hulu, or prime, but a pro App of course! Ça va?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Extremely helpful, solves all the questions in mathematics perfectly so far and explains them really well too.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
it feels the same as it is for the pc and laptop user with the same power but easily portable anywhere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I love this app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amazing 🤤🤤🤤🤤,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wow very nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nice without aids,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
love it but still neads improvement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keep it up,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
